Trip  Return  Stops  Distance      Cost  Cumulative  Cumulative
                                           Distance        Cost
   1       0      1     10.20     38.54       10.20       38.54
   2       1      2     12.00     54.40       22.20       92.94
   3       0      4     32.84    132.67       55.04      225.61
   4       0      3     21.03     89.78       76.07      315.40
   5       0      5     29.52    134.71      105.60      450.11
   6       1      7     51.39    215.76      156.99      665.87
   7       0      2     10.64     50.74      167.63      716.60
   8       0      1     10.10     38.27      177.73      754.87
   9       1      4     30.14    125.38      207.87      880.25
  10       1      5     33.71    146.01      241.58     1026.26
  11       0      3     22.75     94.42      264.33     1120.68
  12       0      2     20.31     76.83      284.63     1197.51
  13       0      5     36.45    153.43      321.09     1350.94
  14       0      4     20.95    100.57      342.04     1451.51
  15       0      3     25.47    101.77      367.51     1553.28
  16       0      4     28.82    121.80      396.33     1675.08
  17       0      5     32.35    142.34      428.67     1817.42
  18       1      4     46.75    170.23      475.43     1987.65
  19       0      3     25.53    101.93      500.96     2089.58
  20       0      3     15.98     76.15      516.94     2165.73
  21       0      4     32.86    132.72      549.80     2298.45
  22       1      5     47.86    184.22      597.66     2482.67
  23       1      1     20.18     65.48      617.83     2548.15
  24       1      2     25.01     89.53      642.85     2637.69
  25       1      3     23.86     97.41      666.70     2735.10
  26       0      2     18.74     72.60      685.44     2807.70
  27       0      3     26.75    105.21      712.19     2912.91
  28       0      4     31.79    129.84      743.98     3042.75
  29       0      4     32.69    132.26      776.67     3175.01
  30       0      2     20.35     76.96      797.03     3251.97
  31       0      1     10.08     38.21      807.10     3290.18
  32       1      4     32.92    132.89      840.02     3423.06
  33       1      6     37.35    166.86      877.38     3589.92
  34       0      3     16.16     76.62      893.53     3666.54
  35       0      1     10.08     38.21      903.61     3704.75
  36       1      3     29.42    112.44      933.03     3817.19
  37       0      2     16.65     66.96      949.68     3884.15
  38       0      1      4.61     23.44      954.29     3907.59
  39       1      4     26.55    115.68      980.84     4023.26
  40       1      4     34.92    138.28     1015.76     4161.54
  41       0      3     24.54     99.26     1040.30     4260.80
  42       0      2     23.60     85.73     1063.90     4346.53
  43       0      2     20.40     77.07     1084.30     4423.60
  44       0      2     15.26     63.21     1099.56     4486.81
  45       0      4     32.49    131.73     1132.05     4618.54
  46       1      5     38.93    160.10     1170.98     4778.65
  47       1      2     11.93     54.21     1182.91     4832.85
  48       0      4     30.37    125.99     1213.28     4958.84
  49       0      1     10.08     38.21     1223.35     4997.05
  50       0      1     10.00     38.00     1233.35     5035.05
  51       1      3     32.80    121.56     1266.15     5156.61
  52       1      2     21.08     78.91     1287.23     5235.52
  53       1      3     32.98    122.05     1320.21     5357.57
  54       0      5     28.88    132.97     1349.09     5490.54
  55       0      4     32.04    130.51     1381.13     5621.05
  56       0      3     29.21    111.87     1410.34     5732.92
  57       0      2     24.18     87.28     1434.52     5820.19
  58       1      1      9.84     37.57     1444.36     5857.76
  59       0      4     28.87    121.96     1473.23     5979.72
  60       1      3     25.67    102.32     1498.90     6082.04
  61       0      2     10.95     51.58     1509.86     6133.62
  62       1      4     33.77    135.17     1543.63     6268.79
  63       1      3     24.70     99.70     1568.33     6368.48
  64       0      2      9.79     48.43     1578.12     6416.91
  65       0      2     10.03     49.08     1588.15     6466.00
  66       0      3     24.57     99.33     1612.71     6565.32
  67       0      4     30.23    125.61     1642.94     6690.93
  68       1      2     18.40     71.68     1661.34     6762.61
  69       0      1     10.08     38.21     1671.41     6800.82
  70       0      2     20.14     76.39     1691.56     6877.20
  71       0      3     21.09     89.95     1712.65     6967.16
  72       1      3     37.00    132.89     1749.65     7100.05
  73       0      2     26.84     94.46     1776.48     7194.50
  74       1      2     13.53     58.52     1790.01     7253.02
  75       1      3     27.04    106.00     1817.05     7359.02
  76       0      2     22.21     81.96     1839.25     7440.99
  77       0      1      7.73     31.88     1846.99     7472.87
  78       0      3     24.37     98.81     1871.36     7571.68
Cumulative Distance: 1871.36km
Cumulative Cost: $7571.68
Longest Trip: 51.39km
Least Expensive Trip: $23.44
